id,name
municipal_period_year_1,2000
municipal_period_year_2,2001
municipal_period_year_3,2002
municipal_period_year_4,2003
municipal_period_year_5,2004
municipal_period_year_6,2005
municipal_period_year_7,2006
municipal_period_year_8,2007
municipal_period_year_9,2008
municipal_period_year_10,2009
municipal_period_year_11,2010
municipal_period_year_12,2011
municipal_period_year_13,2012
municipal_period_year_14,2013
municipal_period_year_15,2014
municipal_period_year_16,2015
municipal_period_year_17,2016
municipal_period_year_18,2017
municipal_period_year_19,2018
municipal_period_year_20,2019
municipal_period_year_21,2020
municipal_period_year_22,2021
municipal_period_year_23,2022
municipal_period_year_24,2023
municipal_period_year_25,2024
municipal_period_year_26,2025
municipal_period_year_27,2026
municipal_period_year_28,2027
municipal_period_year_29,2028
municipal_period_year_30,2029
municipal_period_year_31,2030
municipal_period_year_32,2031
municipal_period_year_33,2032
municipal_period_year_34,2033
municipal_period_year_35,2034
municipal_period_year_36,2035
municipal_period_year_37,2036
municipal_period_year_38,2037
municipal_period_year_39,2038
municipal_period_year_40,2039
municipal_period_year_41,2040
municipal_period_year_42,2041
municipal_period_year_43,2042
municipal_period_year_44,2043
municipal_period_year_45,2044
municipal_period_year_46,2045
municipal_period_year_47,2046
municipal_period_year_48,2047
municipal_period_year_49,2048
municipal_period_year_50,2049
municipal_period_year_51,2050
municipal_period_year_52,2051
municipal_period_year_53,2052
municipal_period_year_54,2053
municipal_period_year_55,2054
municipal_period_year_56,2055
municipal_period_year_57,2056
municipal_period_year_58,2057
municipal_period_year_59,2058
municipal_period_year_60,2059
municipal_period_year_61,2060
municipal_period_year_62,2061
municipal_period_year_63,2062
municipal_period_year_64,2063
municipal_period_year_65,2064
municipal_period_year_66,2065
municipal_period_year_67,2066
municipal_period_year_68,2067
municipal_period_year_69,2068
municipal_period_year_70,2069
municipal_period_year_71,2070
municipal_period_year_72,2071
municipal_period_year_73,2072
municipal_period_year_74,2073
municipal_period_year_75,2074
municipal_period_year_76,2075
municipal_period_year_77,2076
municipal_period_year_78,2077
municipal_period_year_79,2078
municipal_period_year_80,2079
municipal_period_year_81,2080
municipal_period_year_82,2081
municipal_period_year_83,2082
municipal_period_year_84,2083
municipal_period_year_85,2084
municipal_period_year_86,2085
municipal_period_year_87,2086
municipal_period_year_88,2087
municipal_period_year_89,2088
municipal_period_year_90,2089
municipal_period_year_91,2090
municipal_period_year_92,2091
municipal_period_year_93,2092
municipal_period_year_94,2093
municipal_period_year_95,2094
municipal_period_year_96,2095
municipal_period_year_97,2096
municipal_period_year_98,2097
municipal_period_year_99,2098
municipal_period_year_100,2099
